"","V1","V2","V3"
"1","1330960","chr1:10755226-10755521","0"
"2","1330960","chr1:110230238-110230614","0"
"3","1330960","chr1:110880394-110880624","0"
"4","1330960","chr1:111505881-111507007","0"
"5","1330960","chr1:1167001-1168985","0"
"6","1330960","chr1:11724113-11724885","0"
"7","1330960","chr1:120835961-120839391","0"
"8","1330960","chr1:121260857-121261525","0"
"9","1330960","chr1:13910137-13910868","0"
"10","1330960","chr1:143912736-143916156","0"
"11","1330960","chr1:145472980-145474702","0"
"12","1330960","chr1:146649622-146649852","0"
"13","1330960","chr1:1476093-1476669","0"
"14","1330960","chr1:150266476-150266689","0"
"15","1330960","chr1:153935781-153936276","0"
"16","1330960","chr1:156163672-156164052","0"
"17","1330960","chr1:16085147-16085862","0"
"18","1330960","chr1:171810467-171811325","0"
"19","1330960","chr1:177150814-177151165","0"
"20","1330960","chr1:180881316-180882592","0"
"21","1330960","chr1:181451311-181452049","1"
"22","1330960","chr1:2064628-2064855","0"
"23","1330960","chr1:214161197-214161415","0"
"24","1330960","chr1:218520287-218520506","0"
"25","1330960","chr1:21996161-21996409","0"
"26","1330960","chr1:220921411-220922176","0"
"27","1330960","chr1:248020330-248021252","0"
"28","1330960","chr1:248100325-248100726","0"
"29","1330960","chr1:33938025-33938328","0"
"30","1330960","chr1:40782220-40783145","0"
"31","1330960","chr1:42127380-42128632","0"
"32","1330960","chr1:43613488-43613842","0"
"33","1330960","chr1:53308294-53309262","0"
"34","1330960","chr1:53904140-53905247","0"
"35","1330960","chr1:57110663-57111337","0"
"36","1330960","chr1:60539315-60539540","0"
"37","1330960","chr10:102756834-102759798","0"
"38","1330960","chr10:102891010-102891794","0"
"39","1330960","chr10:105253191-105254428","0"
"40","1330960","chr10:106028542-106029047","0"
"41","1330960","chr10:11059442-11060524","0"
"42","1330960","chr10:123922850-123923542","0"
"43","1330960","chr10:135043221-135044560","0"
"44","1330960","chr10:135122851-135123109","0"
"45","1330960","chr10:135123238-135123448","0"
"46","1330960","chr10:38645112-38645513","0"
"47","1330960","chr10:43891546-43892917","0"
"48","1330960","chr10:44879714-44882391","0"
"49","1330960","chr10:48438411-48439320","0"
"50","1330960","chr10:52499392-52500021","0"
"51","1330960","chr10:64133789-64134420","0"
"52","1330960","chr10:93392667-93393147","0"
"53","1330960","chr10:94351356-94351615","0"
"54","1330960","chr11:10316232-10316469","0"
"55","1330960","chr11:113185332-113185663","0"
"56","1330960","chr11:119293320-119293943","0"
"57","1330960","chr11:122753386-122753951","0"
"58","1330960","chr11:18415922-18416680","0"
"59","1330960","chr11:18417667-18417925","0"
"60","1330960","chr11:22850765-22851367","0"
"61","1330960","chr11:43902254-43902528","0"
"62","1330960","chr11:44087518-44088165","0"
"63","1330960","chr11:46402624-46404139","0"
"64","1330960","chr11:506353-508009","0"
"65","1330960","chr11:64509433-64513826","0"
"66","1330960","chr11:65408344-65408631","0"
"67","1330960","chr11:66247269-66248249","0"
"68","1330960","chr11:67070807-67071801","0"
"69","1330960","chr11:72463092-72463717","0"
"70","1330960","chr11:73693702-73694802","0"
"71","1330960","chr11:75378416-75379882","0"
"72","1330960","chr11:8102358-8102913","0"
"73","1330960","chr11:8615397-8615889","0"
"74","1330960","chr12:103889148-103889843","0"
"75","1330960","chr12:104697348-104697984","0"
"76","1330960","chr12:106532106-106533696","0"
"77","1330960","chr12:124246524-124247254","0"
"78","1330960","chr12:132690339-132690571","0"
"79","1330960","chr12:3862068-3862606","0"
"80","1330960","chr12:39299248-39299629","0"
"81","1330960","chr12:49782965-49783193","0"
"82","1330960","chr12:50297580-50297988","0"
"83","1330960","chr12:52444553-52445421","0"
"84","1330960","chr12:53448008-53448406","0"
"85","1330960","chr13:21634519-21635907","0"
"86","1330960","chr13:25670041-25670531","0"
"87","1330960","chr13:27131568-27132677","0"
"88","1330960","chr13:28194183-28196249","0"
"89","1330960","chr13:28544524-28544890","0"
"90","1330960","chr13:29292670-29293329","0"
"91","1330960","chr13:36052553-36053119","0"
"92","1330960","chr13:43566074-43566508","0"
"93","1330960","chr13:73632860-73634370","0"
"94","1330960","chr13:79175610-79177985","0"
"95","1330960","chr13:96204691-96205496","0"
"96","1330960","chr13:96296143-96297059","0"
"97","1330960","chr14:23834435-23835947","0"
"98","1330960","chr14:24422770-24423141","0"
"99","1330960","chr14:24457864-24458100","0"
"100","1330960","chr14:24505567-24505796","0"
"101","1330960","chr14:24803678-24804353","1"
"102","1330960","chr14:33402094-33404079","0"
"103","1330960","chr14:48143433-48145589","0"
"104","1330960","chr14:59930634-59932251","0"
"105","1330960","chr14:61188116-61190772","0"
"106","1330960","chr14:70345943-70346527","0"
"107","1330960","chr15:30114110-30115215","0"
"108","1330960","chr15:30685087-30685891","1"
"109","1330960","chr15:40544352-40545512","0"
"110","1330960","chr15:45315201-45315543","0"
"111","1330960","chr15:45722561-45722939","0"
"112","1330960","chr15:60690708-60690930","0"
"113","1330960","chr15:64679907-64680233","0"
"114","1330960","chr15:81426499-81426702","0"
"115","1330960","chr15:93198374-93199181","0"
"116","1330960","chr16:284478-285395","0"
"117","1330960","chr16:3355020-3356012","0"
"118","1330960","chr16:4166655-4167012","0"
"119","1330960","chr16:48399730-48400040","0"
"120","1330960","chr16:56659107-56659660","1"
"121","1330960","chr16:56665945-56666641","0"
"122","1330960","chr16:57562451-57563325","0"
"123","1330960","chr16:67183208-67184968","0"
"124","1330960","chr16:67449936-67450472","0"
"125","1330960","chr16:67464388-67465462","0"
"126","1330960","chr16:68002837-68003039","0"
"127","1330960","chr16:68676450-68676843","0"
"128","1330960","chr16:88850744-88852274","0"
"129","1330960","chr17:27503598-27504014","0"
"130","1330960","chr17:37856448-37856891","0"
"131","1330960","chr17:38333605-38334795","0"
"132","1330960","chr17:40274523-40275360","0"
"133","1330960","chr17:40573740-40575526","0"
"134","1330960","chr17:40932329-40933299","0"
"135","1330960","chr17:41363727-41364273","0"
"136","1330960","chr17:42092143-42092432","0"
"137","1330960","chr17:42836548-42836932","0"
"138","1330960","chr17:43339124-43339832","0"
"139","1330960","chr17:44656490-44657494","0"
"140","1330960","chr17:46654053-46654369","0"
"141","1330960","chr17:46655215-46655604","0"
"142","1330960","chr17:46673532-46674181","0"
"143","1330960","chr17:46691520-46692097","0"
"144","1330960","chr17:52977866-52978307","0"
"145","1330960","chr17:6558221-6558441","0"
"146","1330960","chr17:66255192-66255556","0"
"147","1330960","chr17:66596072-66597578","0"
"148","1330960","chr17:76037074-76037323","0"
"149","1330960","chr17:79818230-79819299","0"
"150","1330960","chr18:10454453-10455268","0"
"151","1330960","chr18:14132000-14132482","0"
"152","1330960","chr18:32847284-32848130","0"
"153","1330960","chr18:47087879-47088528","0"
"154","1330960","chr18:52495604-52496007","0"
"155","1330960","chr18:5543437-5544241","0"
"156","1330960","chr18:77193463-77193764","0"
"157","1330960","chr18:77196121-77196568","0"
"158","1330960","chr18:77201938-77202732","0"
"159","1330960","chr18:77905297-77905566","1"
"160","1330960","chr19:11689417-11689768","0"
"161","1330960","chr19:11998804-11999131","0"
"162","1330960","chr19:12076029-12076366","0"
"163","1330960","chr19:12203028-12203503","0"
"164","1330960","chr19:12266998-12267686","0"
"165","1330960","chr19:12831793-12832225","0"
"166","1330960","chr19:15342626-15343181","0"
"167","1330960","chr19:18118741-18119553","0"
"168","1330960","chr19:1851578-1852203","0"
"169","1330960","chr19:21265164-21265433","0"
"170","1330960","chr19:22018594-22018827","0"
"171","1330960","chr19:22817274-22817546","0"
"172","1330960","chr19:37095680-37096589","0"
"173","1330960","chr19:37157632-37158119","0"
"174","1330960","chr19:37406931-37407463","0"
"175","1330960","chr19:37957726-37958390","0"
"176","1330960","chr19:40871617-40871824","0"
"177","1330960","chr19:41106058-41106415","0"
"178","1330960","chr19:42501261-42501486","0"
"179","1330960","chr19:42720826-42722132","0"
"180","1330960","chr19:44763978-44764312","0"
"181","1330960","chr19:47731377-47731715","0"
"182","1330960","chr19:48945800-48947636","0"
"183","1330960","chr19:48949034-48949442","0"
"184","1330960","chr19:49315545-49315765","0"
"185","1330960","chr19:50706482-50707196","0"
"186","1330960","chr19:50831454-50832070","0"
"187","1330960","chr19:51069359-51069600","0"
"188","1330960","chr19:52390841-52391368","0"
"189","1330960","chr19:52531323-52531724","0"
"190","1330960","chr19:53073308-53074039","0"
"191","1330960","chr19:53496732-53497028","0"
"192","1330960","chr19:53662189-53662500","1"
"193","1330960","chr19:54371854-54372990","0"
"194","1330960","chr19:56915356-56915856","0"
"195","1330960","chr19:57078365-57079301","0"
"196","1330960","chr19:57831599-57832250","0"
"197","1330960","chr19:57999025-57999613","0"
"198","1330960","chr19:58011124-58011743","0"
"199","1330960","chr19:58125530-58125902","0"
"200","1330960","chr19:58144339-58144999","0"
"201","1330960","chr19:58399945-58400276","0"
"202","1330960","chr19:58446336-58446800","0"
"203","1330960","chr19:58458686-58459219","1"
"204","1330960","chr2:108602824-108603467","0"
"205","1330960","chr2:136499145-136500144","0"
"206","1330960","chr2:152954633-152955784","0"
"207","1330960","chr2:162270888-162271413","0"
"208","1330960","chr2:173940414-173941271","0"
"209","1330960","chr2:175546862-175547880","0"
"210","1330960","chr2:183731819-183732093","0"
"211","1330960","chr2:190539026-190539533","0"
"212","1330960","chr2:201983198-201983709","0"
"213","1330960","chr2:21022564-21022934","0"
"214","1330960","chr2:216877899-216878352","0"
"215","1330960","chr2:218621279-218621498","0"
"216","1330960","chr2:219646432-219647181","0"
"217","1330960","chr2:232650898-232651431","0"
"218","1330960","chr2:29337983-29338909","0"
"219","1330960","chr2:68870351-68871055","0"
"220","1330960","chr2:74875128-74875562","0"
"221","1330960","chr2:85811340-85811855","0"
"222","1330960","chr2:9346383-9347944","0"
"223","1330960","chr2:96011132-96013197","0"
"224","1330960","chr20:10652573-10655611","0"
"225","1330960","chr20:30192854-30194025","0"
"226","1330960","chr20:30310503-30310707","0"
"227","1330960","chr20:33146135-33147318","0"
"228","1330960","chr20:41817475-41819212","0"
"229","1330960","chr20:42543097-42545137","1"
"230","1330960","chr20:47443734-47445181","0"
"231","1330960","chr20:48098512-48099560","0"
"232","1330960","chr20:61560433-61560954","0"
"233","1330960","chr20:61636171-61639055","0"
"234","1330960","chr20:62433937-62434203","0"
"235","1330960","chr21:37442140-37442778","0"
"236","1330960","chr21:40760626-40760829","0"
"237","1330960","chr21:47601020-47601229","0"
"238","1330960","chr21:47602431-47602740","0"
"239","1330960","chr22:18923470-18923840","0"
"240","1330960","chr22:19746924-19747141","0"
"241","1330960","chr22:20459267-20461473","0"
"242","1330960","chr22:20790638-20792665","0"
"243","1330960","chr22:24110029-24110995","0"
"244","1330960","chr22:24180491-24181666","0"
"245","1330960","chr22:24372912-24373725","0"
"246","1330960","chr22:24384134-24384405","1"
"247","1330960","chr22:32026297-32026874","0"
"248","1330960","chr22:38453187-38453503","0"
"249","1330960","chr22:39853323-39854065","0"
"250","1330960","chr22:46440393-46441019","0"
"251","1330960","chr22:47022457-47022659","0"
"252","1330960","chr22:48970857-48972947","0"
"253","1330960","chr3:101568107-101569046","0"
"254","1330960","chr3:10206449-10207024","0"
"255","1330960","chr3:10857687-10858447","0"
"256","1330960","chr3:119298284-119298983","0"
"257","1330960","chr3:124449178-124449461","0"
"258","1330960","chr3:125075915-125076481","0"
"259","1330960","chr3:139258152-139258731","1"
"260","1330960","chr3:181430141-181431076","0"
"261","1330960","chr3:187456250-187456580","0"
"262","1330960","chr3:194406440-194409045","0"
"263","1330960","chr3:238391-240140","0"
"264","1330960","chr3:36985540-36987041","0"
"265","1330960","chr3:42304944-42305311","0"
"266","1330960","chr3:49314437-49314815","0"
"267","1330960","chr3:50604905-50605359","0"
"268","1330960","chr3:53032813-53033116","0"
"269","1330960","chr3:53527927-53530106","0"
"270","1330960","chr3:56502611-56502815","0"
"271","1330960","chr3:56590939-56591223","0"
"272","1330960","chr3:63263989-63264205","0"
"273","1330960","chr3:9956822-9957664","0"
"274","1330960","chr3:99594969-99595215","1"
"275","1330960","chr4:1005930-1006282","0"
"276","1330960","chr4:102711829-102712199","0"
"277","1330960","chr4:103940668-103940951","0"
"278","1330960","chr4:122301567-122302290","0"
"279","1330960","chr4:129208297-129209780","0"
"280","1330960","chr4:140374442-140375692","0"
"281","1330960","chr4:165878036-165878446","0"
"282","1330960","chr4:183838036-183839286","0"
"283","1330960","chr4:5709985-5710495","0"
"284","1330960","chr4:57371582-57372022","0"
"285","1330960","chr4:6200912-6202724","0"
"286","1330960","chr4:66535193-66535620","0"
"287","1330960","chr4:76555366-76556079","0"
"288","1330960","chr4:83933332-83934370","0"
"289","1330960","chr5:101632049-101632373","0"
"290","1330960","chr5:115912001-115912384","0"
"291","1330960","chr5:125930601-125931049","0"
"292","1330960","chr5:126626053-126626901","0"
"293","1330960","chr5:135416204-135416475","0"
"294","1330960","chr5:140305712-140307193","0"
"295","1330960","chr5:157002174-157003182","0"
"296","1330960","chr5:1594238-1595027","0"
"297","1330960","chr5:175792355-175793505","0"
"298","1330960","chr5:178322713-178323538","0"
"299","1330960","chr5:179243545-179244453","0"
"300","1330960","chr5:180017099-180019062","0"
"301","1330960","chr5:35617855-35618339","0"
"302","1330960","chr5:43515133-43515349","0"
"303","1330960","chr5:50678632-50679375","0"
"304","1330960","chr5:5139441-5140941","0"
"305","1330960","chr5:59189046-59189894","0"
"306","1330960","chr5:63461448-63462106","0"
"307","1330960","chr5:67584213-67584451","0"
"308","1330960","chr5:73935725-73937551","0"
"309","1330960","chr6:10415018-10415318","0"
"310","1330960","chr6:105584148-105585621","0"
"311","1330960","chr6:105627406-105627830","0"
"312","1330960","chr6:110679417-110679833","0"
"313","1330960","chr6:150067323-150067766","0"
"314","1330960","chr6:26044203-26044469","0"
"315","1330960","chr6:26045644-26046033","0"
"316","1330960","chr6:26184036-26184336","0"
"317","1330960","chr6:26188997-26189295","0"
"318","1330960","chr6:26250436-26250827","0"
"319","1330960","chr6:27858166-27858564","0"
"320","1330960","chr6:291948-292839","1"
"321","1330960","chr6:29759946-29760903","0"
"322","1330960","chr6:31148369-31148577","0"
"323","1330960","chr6:3157400-3158418","0"
"324","1330960","chr6:3227025-3229688","0"
"325","1330960","chr6:35435810-35437084","0"
"326","1330960","chr6:39901852-39902299","0"
"327","1330960","chr6:48036137-48036410","0"
"328","1330960","chr6:52226753-52228006","0"
"329","1330960","chr6:55443732-55444092","0"
"330","1330960","chr6:6007387-6007797","0"
"331","1330960","chr6:62995855-62996228","0"
